school_name,domain
清华大学,tsinghua.edu.cn
北京大学,pku.edu.cn
浙江大学,zju.edu.cn
上海交通大学,sjtu.edu.cn
复旦大学,fudan.edu.cn
南京大学,nju.edu.cn
中国科学技术大学,ustc.edu.cn
华中科技大学,hust.edu.cn
武汉大学,whu.edu.cn
西安交通大学,xjtu.edu.cn
中山大学,sysu.edu.cn
北京航空航天大学,buaa.edu.cn
东南大学,seu.edu.cn
北京理工大学,bit.edu.cn
四川大学,scu.edu.cn
哈尔滨工业大学,hit.edu.cn
北京协和医学院,cams.ac.cn
同济大学,tongji.edu.cn
中国人民大学,ruc.edu.cn
北京师范大学,bnu.edu.cn
天津大学,tju.edu.cn
南开大学,nankai.edu.cn
山东大学,sdu.edu.cn
西北工业大学,nwpu.edu.cn
厦门大学,xmu.edu.cn
中南大学,csu.edu.cn
吉林大学,jlu.edu.cn
中国农业大学,cau.edu.cn
大连理工大学,dlut.edu.cn
华东师范大学,ecnu.edu.cn
华南理工大学,scut.edu.cn
电子科技大学,uestc.edu.cn
湖南大学,hnu.edu.cn
重庆大学,cqu.edu.cn
南方科技大学,sustc.edu.cn
北京科技大学,ustb.edu.cn
上海财经大学,shufe.edu.cn
南京航空航天大学,nuaa.edu.cn
南京理工大学,njust.edu.cn
兰州大学,lzu.edu.cn
东北大学,neu.edu.cn
首都医科大学,ccmu.edu.cn
西安电子科技大学,xidian.edu.cn
北京交通大学,njtu.edu.cn
上海科技大学,shanghaitech.edu.cn
苏州大学,suda.edu.cn
华东理工大学,ecust.edu.cn
中央财经大学,cufe.edu.cn
哈尔滨工程大学,hrbeu.edu.cn
东北师范大学,nenu.edu.cn
南方医科大学,fimmu.com
华中农业大学,hzau.edu.cn
中国石油大学（北京）,cup.edu.cn
南京医科大学,njmu.edu.cn
香港中文大学（深圳）,cuhk.edu.cn
南京农业大学,njau.edu.cn
郑州大学,zzu.edu.cn
暨南大学,jnu.edu.cn
哈尔滨医科大学,hrbmu.edu.cn
南京师范大学,njnu.edu.cn
武汉理工大学,whut.edu.cn
中国矿业大学,cumt.edu.cn
对外经济贸易大学,uibe.edu.cn
中国医科大学,cmu.edu.cn
中国政法大学,cupl.edu.cn
江南大学,jiangnan.edu.cn
天津医科大学,tijmu.edu.cn
上海大学,shu.edu.cn
中国海洋大学,ouc.edu.cn
华中师范大学,ccnu.edu.cn
西南交通大学,swjtu.edu.cn
中国石油大学（华东）,upc.edu.cn
中国地质大学（武汉）,cug.edu.cn
陕西师范大学,snnu.edu.cn
北京邮电大学,bupt.edu.cn
浙江工业大学,zjut.edu.cn
河海大学,hhu.edu.cn
北京工业大学,bjut.edu.cn
西北大学,nwu.edu.cn
北京化工大学,buct.edu.cn
西南大学,swu.edu.cn
云南大学,ynu.edu.cn
西南财经大学,swufe.edu.cn
南昌大学,ncu.edu.cn
中南财经政法大学,zuel.edu.cn
深圳大学,szu.edu.cn
西北农林科技大学,nwsuaf.edu.cn
北京外国语大学,bfsu.edu.cn
中国地质大学（北京）,cugb.edu.cn
华北电力大学,ncepu.edu.cn
东华大学,dhu.edu.cn
中国矿业大学（北京）,cumtb.edu.cn
宁波大学,nbu.edu.cn
华南师范大学,scnu.edu.cn
江苏大学,ujs.edu.cn
福州大学,fzu.edu.cn
扬州大学,yzu.edu.cn
合肥工业大学,hfut.edu.cn
北京中医药大学,bucm.edu.cn
北京林业大学,bjfu.edu.cn
中国传媒大学,cuc.edu.cn
南京邮电大学,njupt.edu.cn
上海纽约大学,nyu.edu
湖南师范大学,hunnu.edu.cn
重庆医科大学,cqmu.edu.cn
福建师范大学,fjnu.edu.cn
浙江师范大学,zjnu.edu.cn
南京工业大学,njtech.edu.cn
广西大学,gxu.edu.cn
首都师范大学,cnu.edu.cn
长安大学,chd.edu.cn
南京林业大学,njfu.edu.cn
华南农业大学,scau.edu.cn
上海中医药大学,shutcm.edu.cn
安徽大学,ahu.edu.cn
贵州大学,gzu.edu.cn
温州医科大学,wmu.edu.cn
上海外国语大学,shisu.edu.cn
杭州电子科技大学,hdu.edu.cn
广州医科大学,gzhmu.edu.cn
广州大学,gzhu.edu.cn
河南大学,henu.edu.cn
东北财经大学,dufe.edu.cn
广东工业大学,gdut.edu.cn
山西大学,sxu.edu.cn
湘潭大学,xtu.edu.cn
中国药科大学,cpu.edu.cn
南京信息工程大学,nuist.edu.cn
中央民族大学,muc.edu.cn
海南大学,hainanu.edu.cn
山东师范大学,sdnu.edu.cn
浙江理工大学,zstu.edu.cn
上海理工大学,usst.edu.cn
太原理工大学,tyut.edu.cn
河北工业大学,hebut.edu.cn
青岛大学,qdu.edu.cn
大连海事大学,dlmu.edu.cn
外交学院,cfau.edu.cn
燕山大学,ysu.edu.cn
东北林业大学,nefu.edu.cn
宁波诺丁汉大学,nottingham.edu.cn
西安建筑科技大学,xauat.edu.cn
昆明理工大学,kmust.edu.cn
内蒙古大学,imu.edu.cn
江西师范大学,jxnu.edu.cn
西安理工大学,xaut.edu.cn
上海师范大学,shnu.edu.cn
大连医科大学,dlmedu.edu.cn
杭州师范大学,hznu.edu.cn
昆山杜克大学,dku.edu.cn
东北农业大学,neau.edu.cn
河北医科大学,hebmu.edu.cn
武汉科技大学,wust.edu.cn
山东科技大学,sdust.edu.cn
陕西科技大学,sust.edu.cn
福建农林大学,fafu.edu.cn
江西财经大学,jxufe.edu.cn
长沙理工大学,csust.edu.cn
河北大学,hbu.edu.cn
宁夏大学,nxu.edu.cn
新疆大学,xju.edu.cn
西南石油大学,swpu.edu.cn
辽宁大学,lnu.edu.cn
温州大学,wzu.edu.cn
湖北大学,hubu.edu.cn
四川农业大学,sicau.edu.cn
长春理工大学,cust.edu.cn
浙江工商大学,hzic.edu.cn
石河子大学,shzu.edu.cn
中国计量大学,cjlu.edu.cn
天津工业大学,tiangong.edu.cn
南京中医药大学,njutcm.edu.cn
安徽师范大学,ahnu.edu.cn
江苏科技大学,just.edu.cn
首都经济贸易大学,cueb.edu.cn
天津师范大学,tjnu.edu.cn
齐鲁工业大学,sdili.edu.cn
北京语言大学,blcu.edu.cn
江苏师范大学,jsnu.edu.cn
山东农业大学,sdau.edu.cn
上海海洋大学,shou.edu.cn
福建医科大学,fjmu.edu.cn
湖北工业大学,hbut.edu.cn
浙江农林大学,zafu.edu.cn
华东政法大学,ecupl.edu.cn
河南农业大学,henau.edu.cn
常州大学,cczu.edu.cn
西交利物浦大学,xjtlu.edu.cn
沈阳农业大学,syau.edu.cn
河南师范大学,htu.edu.cn
重庆邮电大学,cqupt.edu.cn
广州中医药大学,gzucm.edu.cn
安徽农业大学,ahau.edu.cn
成都理工大学,cdut.edu.cn
安徽医科大学,ahmu.edu.cn
广西师范大学,gxnu.edu.cn
黑龙江大学,hlju.edu.cn
上海体育大学,sus.edu.cn
西南政法大学,swupl.edu.cn
北京建筑大学,bucea.edu.cn
武汉工程大学,wit.edu.cn
南通大学,ntu.edu.cn
浙江中医药大学,zcmu.edu.cn
河北师范大学,hebtu.edu.cn
广西医科大学,gxmu.edu.cn
天津科技大学,tust.edu.cn
青岛科技大学,qust.edu.cn
华侨大学,hqu.edu.cn
广东外语外贸大学,gdufs.edu.cn
河南科技大学,haust.edu.cn
延边大学,ybu.edu.cn
山西医科大学,sxmu.edu.cn
汕头大学,stu.edu.cn
武汉纺织大学,wtu.edu.cn
南京财经大学,nufe.edu.cn
天津中医药大学,tjutcm.edu.cn
江西理工大学,jxust.edu.cn
西安科技大学,xust.edu.cn
集美大学,jmu.edu.cn
西北师范大学,nwnu.edu.cn
湖南农业大学,hunau.edu.cn
青海大学,qhu.edu.cn
成都中医药大学,cdutcm.edu.cn
辽宁师范大学,lnnu.edu.cn
浙江财经大学,zufe.edu.cn
上海海事大学,shmtu.edu.cn
吉林农业大学,jlau.edu.cn
上海对外经贸大学,suibe.edu.cn
曲阜师范大学,qfnu.edu.cn
三峡大学,ctgu.edu.cn
深圳北理莫斯科大学,szmsubit.edu.cn
华东交通大学,ecjtu.jx.cn
济南大学,ujn.edu.cn
中北大学,nuc.edu.cn
山东财经大学,sdufe.edu.cn
南昌航空大学,nchu.edu.cn
天津理工大学,tjut.edu.cn
湖南科技大学,hnust.edu.cn
安徽工业大学,ahut.edu.cn
长江大学,yangtzeu.edu.cn
兰州理工大学,lut.cn
重庆交通大学,cqjtu.edu.cn
沈阳工业大学,sut.edu.cn
烟台大学,ytu.edu.cn
山东理工大学,sdut.edu.cn
安徽理工大学,aust.edu.cn
西藏大学,utibet.edu.cn
上海电力大学,shiep.edu.cn
北京工商大学,btbu.edu.cn
河北农业大学,hebau.edu.cn
北方工业大学,ncut.edu.cn
西安邮电大学,xiyou.edu.cn
北京电子科技学院,besti.edu.cn
四川师范大学,sicnu.edu.cn
云南师范大学,ynnu.edu.cn
南华大学,usc.edu.cn
江西农业大学,jxau.edu.cn
山东第一医科大学,sdfmu.edu.cn
河南理工大学,hpu.edu.cn
苏州科技大学,usts.edu.cn
内蒙古农业大学,imau.edu.cn
北京信息科技大学,bistu.edu.cn
兰州交通大学,lzjtu.edu.cn
北京师范大学-香港浸会大学联合国际学院,uic.edu.cn
南京审计大学,nau.edu.cn
河南工业大学,haut.edu.cn
天津财经大学,tjufe.edu.cn
青岛理工大学,qtech.edu.cn
中国人民公安大学,cppsu.edu.cn
大连工业大学,dlpu.edu.cn
徐州医科大学,xzhmu.edu.cn
国际关系学院,uir.cn
沈阳航空航天大学,sau.edu.cn
沈阳药科大学,syphu.edu.cn
沈阳建筑大学,sjzu.edu.cn
重庆师范大学,cqnu.edu.cn
中南民族大学,scuec.edu.cn
青岛农业大学,qau.edu.cn
北京体育大学,bsu.edu.cn
山西农业大学,sxau.edu.cn
西安工业大学,xatu.cn
湖州师范学院,zjhu.edu.cn
东北石油大学,nepu.edu.cn
佛山大学,fosu.edu.cn
嘉兴大学,zjxu.edu.cn
浙江海洋大学,zjou.edu.cn
西南科技大学,swust.edu.cn
海南师范大学,hainnu.edu.cn
石家庄铁道大学,stdu.edu.cn
青海师范大学,qhnu.edu.cn
上海工程技术大学,sues.edu.cn
河北科技大学,hebust.edu.cn
